variant,bias,subset,n,win_rate,win_rate_ci_low,win_rate_ci_high,expectancy_R,expectancy_ci_low,expectancy_ci_high,expectancy_significant,p_target,p_stop,avg_win_R,avg_loss_R
v1_baseline,prev_close_dir,all,453,0.19426048565121412,0.15894039735099338,0.23399558498896247,0.057700753281199856,-0.20148369127636032,0.33820369795071764,False,0.16777041942604856,0.8013245033112583,4.752712640528532,-1.0773570656137597
v1_baseline,prev_close_dir,aligned,231,0.1471861471861472,0.1038961038961039,0.19480519480519481,-0.2629475896926685,-0.5555936744125561,0.05718799447740645,False,0.1341991341991342,0.8528138528138528,4.434233074882949,-1.0736285165737394
v1_baseline,prev_close_dir,against,220,0.24545454545454545,0.19090909090909092,0.3,0.4060005080951926,-0.021650647647786406,0.9015425424360269,False,0.20454545454545456,0.7454545454545455,4.953236811490568,-1.0821859184705662
v1_baseline,gap_dir,all,453,0.19426048565121412,0.15894039735099338,0.23399558498896247,0.057700753281199856,-0.20148369127636032,0.33820369795071764,False,0.16777041942604856,0.8013245033112583,4.752712640528532,-1.0773570656137597
v1_baseline,gap_dir,aligned,224,0.17410714285714285,0.125,0.22321428571428573,0.030499675216194008,-0.3227184349134876,0.42622634893452516,False,0.14732142857142858,0.8214285714285714,5.275802815538508,-1.0812765338738621
v1_baseline,gap_dir,against,228,0.2149122807017544,0.16228070175438597,0.26765350877192823,0.08922282883062772,-0.2889575355699925,0.5104635990601089,False,0.18859649122807018,0.7807017543859649,4.3363755624593665,-1.0734055731124348
v1_baseline,ema_20,all,453,0.19426048565121412,0.15894039735099338,0.23399558498896247,0.057700753281199856,-0.20148369127636032,0.33820369795071764,False,0.16777041942604856,0.8013245033112583,4.752712640528532,-1.0773570656137597
v1_baseline,ema_20,aligned,239,0.1799163179916318,0.13389121338912133,0.2301255230125523,-0.13346398969339746,-0.4195525101616547,0.17542356682897983,False,0.15481171548117154,0.8158995815899581,4.134749102046154,-1.0698576781872788
v1_baseline,ema_20,against,212,0.21226415094339623,0.16037735849056603,0.2688679245283019,0.28469721132968123,-0.17285519924676354,0.7832913323628022,False,0.18396226415094338,0.7830188679245284,5.343211132856138,-1.0865866830600208
v2_buffer_5c,prev_close_dir,all,453,0.20750551876379691,0.17218543046357615,0.24508830022074976,0.10010373565402325,-0.14965148270313045,0.37411555010109165,False,0.18101545253863136,0.7880794701986755,4.519660434978324,-1.0603385261797313
v2_buffer_5c,prev_close_dir,aligned,231,0.16017316017316016,0.11255411255411256,0.2077922077922078,-0.22093755724438613,-0.5035784491128031,0.10158020724773088,False,0.1471861471861472,0.8398268398268398,4.17876345026567,-1.0600557906354795
v2_buffer_5c,prev_close_dir,against,220,0.2590909090909091,0.20454545454545456,0.3181818181818182,0.44916529464618576,0.04883154667973495,0.9051201893598122,True,0.21818181818181817,0.7318181818181818,4.740944442598816,-1.0609051463001102
v2_buffer_5c,gap_dir,all,453,0.20750551876379691,0.17218543046357615,0.24508830022074976,0.10010373565402325,-0.14965148270313045,0.37411555010109165,False,0.18101545253863136,0.7880794701986755,4.519660434978324,-1.0603385261797313
v2_buffer_5c,gap_dir,aligned,224,0.1875,0.13839285714285715,0.24107142857142858,0.042310894285157274,-0.2886847216796497,0.39904497368881076,False,0.16071428571428573,0.8080357142857143,4.808429539609589,-1.063639288607805
v2_buffer_5c,gap_dir,against,228,0.22807017543859648,0.17105263157894737,0.2850877192982456,0.16170130314998882,-0.2146288586765052,0.5671331808719098,False,0.20175438596491227,0.7675438596491229,4.286423850468453,-1.056966722194103
v2_buffer_5c,ema_20,all,453,0.20750551876379691,0.17218543046357615,0.24508830022074976,0.10010373565402325,-0.14965148270313045,0.37411555010109165,False,0.18101545253863136,0.7880794701986755,4.519660434978324,-1.0603385261797313
v2_buffer_5c,ema_20,aligned,239,0.18828451882845187,0.14225941422594143,0.2384937238493724,-0.1781078246866222,-0.42834641455822214,0.09689717740498786,False,0.16317991631799164,0.8075313807531381,3.6053626606891718,-1.0557169578923478
v2_buffer_5c,ema_20,against,212,0.23113207547169812,0.17452830188679244,0.28773584905660377,0.42605873888229484,-0.018440317861044313,0.9131220922906051,False,0.2028301886792453,0.7641509433962265,5.359321656264278,-1.0661010324246012
v3_fixed_1R,prev_close_dir,all,453,0.4282560706401766,0.3818984547461369,0.4746136865342163,-0.21578773200837897,-0.30718332746340327,-0.12550476543925793,False,0.4282560706401766,0.5695364238410596,0.9324242693118528,-1.079171950055375
v3_fixed_1R,prev_close_dir,aligned,231,0.3722943722943723,0.3116883116883117,0.43722943722943725,-0.32620602875169685,-0.44989307672623713,-0.19866826109299704,False,0.3722943722943723,0.6277056277056277,0.9354533602358238,-1.0745005629098123
v3_fixed_1R,prev_close_dir,against,220,0.4909090909090909,0.42272727272727273,0.5590909090909091,-0.09173508975071654,-0.22777312625758958,0.0396329871075209,False,0.4909090909090909,0.5045454545454545,0.9300122154279502,-1.0858676028975274
v3_fixed_1R,gap_dir,all,453,0.4282560706401766,0.3818984547461369,0.4746136865342163,-0.21578773200837897,-0.30718332746340327,-0.12550476543925793,False,0.4282560706401766,0.5695364238410596,0.9324242693118528,-1.079171950055375
v3_fixed_1R,gap_dir,aligned,224,0.375,0.3125,0.4375,-0.3230695141642449,-0.4535439723723136,-0.19540451544728077,False,0.375,0.6205357142857143,0.930272258280758,-1.080484686001513
v3_fixed_1R,gap_dir,against,228,0.4824561403508772,0.4166666666666667,0.5482456140350878,-0.10714061905995018,-0.23513261044157183,0.0243747450635367,False,0.4824561403508772,0.5175438596491229,0.9340676231901436,-1.077758472004953
v3_fixed_1R,ema_20,all,453,0.4282560706401766,0.3818984547461369,0.4746136865342163,-0.21578773200837897,-0.30718332746340327,-0.12550476543925793,False,0.4282560706401766,0.5695364238410596,0.9324242693118528,-1.079171950055375
v3_fixed_1R,ema_20,aligned,239,0.42677824267782427,0.36401673640167365,0.4895397489539749,-0.21581958513755944,-0.3391532217113147,-0.0886476808097424,False,0.42677824267782427,0.5732217573221757,0.9388395790745407,-1.0754928314852545
v3_fixed_1R,ema_20,against,212,0.4339622641509434,0.36792452830188677,0.5,-0.20788007795816194,-0.3424376982472198,-0.0714116574237371,False,0.4339622641509434,0.5613207547169812,0.9253116432706119,-1.0839610725215838
v4_buffer_2R,prev_close_dir,all,453,0.3355408388520971,0.293598233995585,0.37969094922737306,-0.053635492714948586,-0.18532847352226814,0.0785271109942651,False,0.33112582781456956,0.6600441501103753,1.9260842768235253,-1.0566935092811085
v4_buffer_2R,prev_close_dir,aligned,231,0.29004329004329005,0.23376623376623376,0.35064935064935066,-0.18795119833826693,-0.3563847203511412,-0.009974966267825793,False,0.29004329004329005,0.70995670995671,1.9395285785195375,-1.0571045218106627
v4_buffer_2R,prev_close_dir,against,220,0.38636363636363635,0.32272727272727275,0.45,0.09706492875536935,-0.095444758084724,0.28591926335841145,False,0.37727272727272726,0.6045454545454545,1.9154870037219627,-1.0564117605891117
v4_buffer_2R,gap_dir,all,453,0.3355408388520971,0.293598233995585,0.37969094922737306,-0.053635492714948586,-0.18532847352226814,0.0785271109942651,False,0.33112582781456956,0.6600441501103753,1.9260842768235253,-1.0566935092811085
